Date,SecuritiesCode,Open,High,Low,Close,Volume
2018-12-07,sz000001,10.3,10.39,10.27,10.28,34021615.0
2018-12-10,sz000001,10.22,10.27,10.13,10.17,49481887.0
2018-12-11,sz000001,10.21,10.26,10.17,10.23,29908962.0
2018-12-12,sz000001,10.3,10.32,10.2,10.24,36637903.0
2018-12-13,sz000001,10.25,10.48,10.2,10.39,79084521.0
2018-12-14,sz000001,10.34,10.35,10.16,10.17,52667513.0
2018-12-17,sz000001,10.16,10.33,10.1,10.29,57127487.0
2018-12-18,sz000001,10.2,10.32,10.1,10.12,53774430.0
2018-12-19,sz000001,10.14,10.18,9.9,9.94,59800701.0
2018-12-20,sz000001,9.92,9.97,9.63,9.71,99028479.0
2018-12-21,sz000001,9.68,9.7,9.33,9.45,100061676.0
2018-12-24,sz000001,9.4,9.45,9.31,9.42,50911767.0
2018-12-25,sz000001,9.29,9.43,9.21,9.34,58661545.0
2018-12-26,sz000001,9.35,9.42,9.27,9.3,42114060.0
2018-12-27,sz000001,9.45,9.49,9.28,9.28,62459327.0
2018-12-28,sz000001,9.31,9.46,9.31,9.38,57660400.0
2019-01-02,sz000001,9.39,9.42,9.16,9.19,53938632.0
2019-01-03,sz000001,9.18,9.33,9.15,9.28,41553795.0
2019-01-04,sz000001,9.24,9.82,9.22,9.75,148115906.0
2019-01-07,sz000001,9.84,9.85,9.63,9.74,86568766.0
2019-01-08,sz000001,9.73,9.74,9.62,9.66,40238811.0
2019-01-09,sz000001,9.74,10.08,9.7,9.94,123348636.0
2019-01-10,sz000001,9.87,10.2,9.86,10.1,107181766.0
2019-01-11,sz000001,10.11,10.22,10.05,10.2,69636455.0
2019-01-14,sz000001,10.22,10.25,10.07,10.11,50044359.0
2019-01-15,sz000001,10.11,10.28,10.09,10.24,54216055.0
2019-01-16,sz000001,10.24,10.5,10.23,10.48,97769937.0
2019-01-17,sz000001,10.54,10.57,10.17,10.25,88281192.0
2019-01-18,sz000001,10.34,10.49,10.28,10.43,73879326.0
